Hotel_Id,Hotel,City,Link,Rating,Hotel_Type,Location,Cost_for_2
1185,The Cakepoint,Coi_Ganapathy,https://www.swiggy.com/restaurants/the-cakepoint-gandhipuram-coi-ganapathy-coimbatore-63233,4.6,"Cafe, Desserts","gandhipuram, Coi Ganapathy",300
1186,Baskin Robbins,Coi_Ganapathy,https://www.swiggy.com/restaurants/baskin-robbins-prozone-mall-saravanampatti-coimbatore-67833,4.1,Desserts,"Prozone Mall, Saravanampatti",300
1187,Kwality Walls,Coi_Ganapathy,https://www.swiggy.com/restaurants/kwality-walls-coi-ganapathy-ganapathypudur-coimbatore-318571,4.5,"Desserts, Ice Cream","Coi_Ganapathy, Ganapathypudur",300
1188,Vels Biriyani and Fast food,Coi_Ganapathy,https://www.swiggy.com/restaurants/vels-biriyani-and-fast-food-coi-ganapathy-coimbatore-397553,--,"Opens next at 11 am, tomorrowChinese, Biryani","Coi Ganapathy, Coi Ganapathy",250
1189,Hotel Sri Raahava Chettinadu,Coi_Ganapathy,https://www.swiggy.com/restaurants/hotel-sri-raahava-chettinadu-coi-ganapathy-kk-nagar-coimbatore-208245,--,"Grill, South Indian","Coi_Ganapathy, Kk Nagar",200
1190,Queen of Indian Biriyani Corner,Coi_Ganapathy,https://www.swiggy.com/restaurants/queen-of-indian-biriyani-corner-kattabomman-street-ganapathypudur-coimbatore-364988,--,Biryani,"Kattabomman Street, Ganapathypudur",200
1191,KFC,Coi_Ganapathy,https://www.swiggy.com/restaurants/kfc-prozone-mall-food-court-1st-saravanampatti-coimbatore-51012,4.1,"American, Fast Food","Prozone Mall, Food Court, 1st, Saravanampatti",400
1192,Sree Velu Biriyani,Coi_Ganapathy,https://www.swiggy.com/restaurants/sree-velu-biriyani-ganapathy-ganapathypudur-coimbatore-56266,4.0,"Indian, Chinese","Ganapathy, Ganapathypudur",300
1193,FOODVILLE,Coi_Ganapathy,https://www.swiggy.com/restaurants/foodville-coi-ganapathy-ganapathypudur-coimbatore-368029,3.8,Indian,"Coi_Ganapathy, Ganapathypudur",200
1194,Krish Kulambu Kadai,Coi_Ganapathy,https://www.swiggy.com/restaurants/krish-kulambu-kadai-coi-ganapathy-coimbatore-414784,--,"Opens next at 11:30 am, tomorrowSouth Indian, Biryani","Coi Ganapathy, Coi Ganapathy",150
1195,FAMOUS JIGARTHANDA,Coi_Ganapathy,https://www.swiggy.com/restaurants/famous-jigarthanda-coi-ganapathy-coimbatore-415234,--,Indian,"Coi Ganapathy, Coi Ganapathy",70
1196,Pizza hut,Coi_Ganapathy,https://www.swiggy.com/restaurants/pizza-hut-prozone-mall-saravanampatti-coimbatore-51019,3.9,Pizzas,"Prozone Mall, Saravanampatti",400
1197,KR BAKES AND RESTAURANT,Coi_Ganapathy,https://www.swiggy.com/restaurants/kr-bakes-and-restaurant-coi-ganapathy-ganapathypudur-coimbatore-302756,--,"Opens next at 10 am, tomorrowSweets, Snacks","Coi_Ganapathy, Ganapathypudur",200
1198,PIZZA TIME,Coi_Ganapathy,https://www.swiggy.com/restaurants/pizza-time-coi-ganapathy-ganapathypudur-coimbatore-375534,--,"Continental, Pizzas","Coi_Ganapathy, Ganapathypudur",200
1199,Canadian,Coi_Ganapathy,https://www.swiggy.com/restaurants/canadian-coi-ganapathy-coimbatore-407658,--,"Ice Cream, Beverages","Coi Ganapathy, Coi Ganapathy",250
1200,Hotel Kannappa,Coi_Ganapathy,https://www.swiggy.com/restaurants/hotel-kannappa-coi-ganapathy-ganapathypudur-coimbatore-366024,4.1,"Biryani, Chettinad","Coi_Ganapathy, Ganapathypudur",250
1201,Cake Kafe,Coi_Ganapathy,https://www.swiggy.com/restaurants/cake-kafe-ganapathy-kk-nagar-coimbatore-206116,4.0,"Bakery, Fast Food","Ganapathy, Kk Nagar",150
1202,Sree Annapoorna,Coi_Ganapathy,https://www.swiggy.com/restaurants/sree-annapoorna-ganapathy-ganapathypudur-coimbatore-53562,4.3,"Indian, South Indian","Ganapathy, Ganapathypudur",400
1203,Koyan Kafe,Coi_Ganapathy,https://www.swiggy.com/restaurants/koyan-kafe-coi-ganapathy-coimbatore-386943,--,"Continental, Chinese","Coi_Ganapathy, Coi Ganapathy",300
1204,Bon Bon,Coi_Ganapathy,https://www.swiggy.com/restaurants/bon-bon-ganapathy-ganapathypudur-coimbatore-58333,4.0,"Ice Cream, Desserts","Ganapathy, Ganapathypudur",200
1205,Pepper Lounge Bakery,Coi_Ganapathy,https://www.swiggy.com/restaurants/pepper-lounge-bakery-coi-ganapathy-ganapathypudur-coimbatore-353470,--,"Opens next at 9 am, tomorrowBakery","Coi_Ganapathy, Ganapathypudur",300
1206,HOT SPOT RESTAURANT,Coi_Ganapathy,https://www.swiggy.com/restaurants/hot-spot-restaurant-coi-ganapathy-coimbatore-450238,--,"Opens next at 12:30 pm, tomorrowIndian, Chinese","Coi Ganapathy, Coi Ganapathy",250
1207,The Baby Chef,Coi_Ganapathy,https://www.swiggy.com/restaurants/the-baby-chef-coi-ganapathy-coimbatore-360393,--,"Juices, Beverages","Coi_Ganapathy, GANAPATHY",150
1208,BIRYANI DEKSHAAA,Coi_Ganapathy,https://www.swiggy.com/restaurants/biryani-dekshaaa-ganapathy-raja-nagar-coimbatore-320736,3.4,"North Indian, Biryani","Ganapathy, Raja Nagar",200
1209,Sree Annapoorna Sweets & Savouries,Coi_Ganapathy,https://www.swiggy.com/restaurants/sree-annapoorna-sweets-and-savouries-ganapathy-ganapathypudur-coimbatore-57927,4.5,"Sweets, Desserts","Ganapathy, Ganapathypudur",200
1210,Burger King,Coi_Ganapathy,https://www.swiggy.com/restaurants/burger-king-prozone-mall-sathy-road-saravanampatti-coimbatore-50457,4.2,"American, Fast Food","Prozone Mall,Sathy Road, Saravanampatti",350
